*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=K130
*Date=17:11:29
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
111;;;184.495;-75.7296;0;Bottom;MX88
112;;300 mil [THT];265.498;-66.5834;180;Bottom;D69
113;;300 mil [THT];458.538;-66.5834;180;Bottom;D38
114;;;117.919;-131.871;0;Bottom;MX6
115;;;245.969;-111.425;0;Bottom;Hole6
116;;300 mil [THT];65.4726;-85.6334;180;Bottom;D80
117;;;179.697;-37.6295;0;Bottom;MX106
118;;300 mil [THT];420.438;-47.5334;180;Bottom;D35
119;;;95.4099;-111.996;0;Bottom;Hole1
120;;300 mil [THT];162.369;-110.516;180;Bottom;D125
121;;;94.0711;-56.6795;0;Bottom;MX98
122;;;213.141;-94.7914;0;Bottom;MX69
123;;;14.2022;-18.599;0;Bottom;MX33
124;;300 mil [THT];63.0737;-47.5334;180;Bottom;D52
125;;;373.961;-75.7651;0;Bottom;MX39
126;;300 mil [THT];232.191;-110.403;180;Bottom;D129
127;;;94.6826;-142.501;0;Bottom;Hole16
128;;300 mil [THT];327.445;-28.4834;180;Bottom;D24
129;;;248.785;-18.5914;0;Bottom;MX123
130;;;458.571;-37.6555;0;Bottom;MX55
131;;300 mil [THT];222.6;-85.6334;180;Bottom;D88
132;;;396.487;-112.021;0;Bottom;Hole4
133;;;103.526;-37.6295;0;Bottom;MX113
134;;;484.643;-40.2661;0;Bottom;Hole13
135;;300 mil [THT];14.1834;-85.5487;-180;Bottom;D1
136;;;170.318;-27.1428;0;Bottom;Hole7
137;;300 mil [THT];79.6777;-114.279;180;Bottom;D107
138;;300 mil [THT];477.588;-47.6039;-180;Bottom;D32
139;;300 mil [THT];182.172;-28.4834;180;Bottom;D18
140;;;294.027;-37.6295;0;Bottom;MX116
141;;300 mil [THT];57.1941;-114.185;180;Bottom;D103
142;;;108.323;-75.7296;0;Bottom;MX80
143;;300 mil [THT];14.1834;-47.4487;180;Bottom;D9
144;;300 mil [THT];79.7954;-28.4834;180;Bottom;D14
145;;;429.257;-66.5834;0;Bottom;Via8
146;;300 mil [THT];439.488;-85.6334;180;Bottom;D41
147;;;393.011;-18.5869;0;Bottom;MX41
148;;300 mil [THT];126.621;-110.516;180;Bottom;D108
149;;;334.854;-85.6334;0;Bottom;Via17
150;;;217.797;-37.6295;0;Bottom;MX119
151;;300 mil [THT];373.942;-52.6839;180;Bottom;D28
152;;300 mil [THT];148.916;-114.279;180;Bottom;D111
153;;300 mil [THT];189.298;-66.5834;180;Bottom;D73
154;;;76.7615;-66.5834;0;Bottom;Via3
155;;;420.493;-18.6055;0;Bottom;MX62
156;;;284.477;-47.5334;0;Bottom;Via18
157;;300 mil [THT];33.2617;-66.4705;180;Bottom;D8
158;;300 mil [THT];246.448;-66.5834;180;Bottom;D70
159;;;284.571;-56.6795;0;Bottom;MX96
160;;;458.571;-56.7055;0;Bottom;MX54
161;;;63.069;-37.6295;0;Bottom;MX112
162;;;33.2522;-131.871;0;Bottom;MX3
163;;;222.595;-75.7296;0;Bottom;MX79
164;;;439.521;-18.6055;0;Bottom;MX60
165;;;354.911;-94.7868;0;Bottom;MX34
166;;300 mil [THT];320.249;-47.5334;180;Bottom;D65
167;;;354.911;-75.7651;0;Bottom;MX38
168;;;43.3182;-66.4423;0;Bottom;Via2
169;;300 mil [THT];285.606;-114.491;180;Bottom;D117
